gene,gene_number,cpath,cost,x,y,z,cc,cc_size
Hsd17b12,61,"[3442, 11672, 17307, 21592]",2.061346691675892,193.84954958768077,1872.2744319181575,0.0,857,1
Ncl,121,"[3446, 6682, 21599, 23289]",2.220510438923473,197.1723864901976,1909.473578515181,0.0,858,1
Snx5,212,"[3451, 8776, 18117, 20095]",3.1146339136705072,199.01040435104318,1928.4617246309356,0.0,859,1
Ncl,121,"[3464, 6700, 21616, 23312]",0.4331377978213373,203.58545373361073,1812.6238337040538,0.0,860,1
Oxct1,134,"[3466, 7824, 15488, 23692]",1.4467581120236508,203.6353895464268,1931.0078011230055,0.0,861,1
Stip1,221,"[3478, 7095, 16493, 22465]",1.613618504803303,209.02897699607885,1821.7333808583871,0.0,862,1
Ncl,121,"[3482, 6724, 21629, 23332]",2.296863535692869,210.72540210822183,1897.333328843234,0.0,863,1
Ncl,121,"[3488, 6727, 21635, 23335]",3.062229262913953,212.33586709995495,1926.9461655067137,0.0,864,2
Ncl,121,"[3498, 6736, 21642, 23349]",2.9799786828174772,216.42192853577677,1917.7433122026011,0.0,865,1
Ncl,121,"[3499, 6738, 21643, 23352]",2.749475840356158,217.2204207152949,1921.286534062359,0.0,866,1
Ncl,121,"[3503, 6746, 21646, 23356]",1.4929213939683157,219.3337403458304,1838.4034128393578,0.0,867,1
Ncl,121,"[3508, 6752, 21652, 23363]",0.36970899009569236,221.99476480406415,1823.6587534197624,0.0,868,1
Oxct1,134,"[3516, 7878, 15525, 23721]",2.3973830554566145,226.37296708055743,1849.858607025934,0.0,869,1
Snx5,212,"[3521, 8827, 18178, 20163]",1.511075536170649,229.45458073297,1887.3096697366805,0.0,870,1
Snx5,212,"[3531, 8834, 18185, 20175]",1.903744925488732,233.71181317993734,1854.7232867114494,0.0,871,1
Ncl,121,"[3538, 6783, 21675, 23394]",2.9564131673635354,235.42577805381094,1888.3975719543473,0.0,872,1
Ncl,121,"[3542, 6791, 21680, 23400]",3.8860121801228047,237.72673530918553,1865.592561605422,0.0,873,1
Ncl,121,"[3547, 6797, 21684, 23413]",2.3876344758811885,242.79951611033303,1878.6372889029149,0.0,874,1
Ncl,121,"[3548, 6795, 21685, 23412]",2.2102042651672784,242.8530358453234,1886.9954465697579,0.0,875,2
