gene_name,gene_number,cpath,cost,x,y,z,cc,cc_size
Hdac6,1050,"[3892, 7023, 11948, 15597]",9.961942887394038,880.5056564860141,1454.058223179542,0.0,1462,1
Slc25a39,1053,"[25, 5376, 11343, 14975]",3.665119744409045,860.0242824713988,1405.7894276727504,0.0,15,6
Ets2,1060,"[1273, 5396, 10653, 13307]",4.852533842304294,869.8023605616472,1418.3130967538714,0.0,560,1
Ets2,1060,"[1330, 5463, 10606, 13375]",4.870969487079432,1008.7665992602009,1486.7383648262205,0.0,581,1
Ercc3,1063,"[2659, 8373, 10290, 13577]",17.675059725354973,931.3457465898064,1438.5979729964338,0.0,1080,1
Ercc3,1063,"[2735, 8404, 10319, 13602]",13.757617839682977,965.8047578644209,1449.1729014377388,0.0,1110,1
Vprbp,1064,"[1607, 4070, 12170, 14431]",1.7610626935774487,753.3549108072432,1488.9827681233448,0.0,56,3
Ptprk,1065,"[1948, 8020, 9929, 12665]",6.353423863272609,769.843146764563,1497.6333492624644,0.0,819,1
Dennd4a,1066,"[2542, 8442, 10887, 12890]",9.772875694533065,833.558254552845,1397.5528096349626,0.0,248,125
Dennd4a,1066,"[2424, 8267, 10674, 12717]",5.1645287768066295,756.2878922625132,1461.8907674290833,0.0,999,1
Kctd10,1067,"[2574, 5927, 8644, 12873]",1.031432961297052,766.3114941777981,1556.4286496735576,0.0,1047,1
Kctd10,1067,"[2608, 5795, 8527, 12770]",7.003977707177453,816.699999821588,1547.0052806989013,0.0,1058,1
Kctd10,1067,"[2614, 5951, 8547, 12785]",0.8233393888700649,892.8672830006881,1470.1335519735892,0.0,1059,1
Kctd10,1067,"[2636, 5845, 8567, 12810]",1.0556237353950189,891.9782278843186,1505.1457893994707,0.0,1069,1
Kctd10,1067,"[2637, 5852, 8575, 12819]",1.780536929271003,861.6458163497409,1494.7187914190238,0.0,1070,1
Kctd10,1067,"[2642, 5851, 8572, 12812]",1.38921925953374,864.6938659401833,1529.8828441063915,0.0,1073,1
Kctd10,1067,"[2673, 5886, 8601, 12846]",2.648783479380993,928.1323603868632,1520.7065977239006,0.0,1085,1
Kctd10,1067,"[2686, 5908, 8622, 12861]",4.2891898692606585,1012.7016270833026,1491.9663917200141,0.0,1088,1
Kctd10,1067,"[2698, 5923, 8638, 12875]",7.572263313827449,762.9895604326924,1539.1301759263772,0.0,1094,1
Kctd10,1067,"[2715, 5952, 8662, 12797]",7.279035571231128,870.4296714548527,1415.413732355313,0.0,1100,1
Kctd10,1067,"[2727, 5972, 8681, 12904]",3.6681784584619677,962.0833682593991,1492.571216890304,0.0,1105,1
Kctd10,1067,"[2729, 5919, 8686, 12908]",1.8725180211995105,964.8366282575255,1553.7721338999113,0.0,1107,1
Kctd10,1067,"[2730, 5893, 8673, 12851]",1.0963674627130682,936.9119494659044,1544.4867846706234,0.0,1108,1
Flnb,1071,"[2114, 5420, 9485, 15040]",6.576552428390141,942.6985070509317,1434.5931292843297,0.0,742,4
Flnb,1071,"[1994, 5323, 9401, 14890]",5.253538175388965,788.3198220389745,1427.0776088568887,0.0,842,1
Flnb,1071,"[1996, 5328, 9409, 14901]",4.301067297549242,825.8929880144725,1427.4128991400491,0.0,843,1
Flnb,1071,"[2037, 5350, 9417, 14921]",11.907848756763102,784.7988220716513,1487.8071240382867,0.0,860,1
Flnb,1071,"[2068, 5380, 9450, 14986]",2.2378532468262966,866.0470904348549,1444.4861130831935,0.0,872,1
Flnb,1071,"[2074, 5381, 9448, 14988]",3.7876600537542986,880.1734138905566,1419.2029605277946,0.0,876,1
Flnb,1071,"[2087, 5389, 9453, 14984]",11.20147107136865,851.1997743039154,1428.0021382239338,0.0,882,1
Flnb,1071,"[2122, 5422, 9486, 15043]",1.7355536809968664,931.2028754890748,1457.3943201827803,0.0,898,1
Flnb,1071,"[2125, 5424, 9487, 15050]",6.757026699907882,912.4125575759109,1450.4192481227578,0.0,901,1
Flnb,1071,"[2142, 5444, 9505, 15064]",0.8750395911315856,931.5050253564501,1488.4075938822234,0.0,907,1
Flnb,1071,"[2146, 5448, 9506, 15066]",12.568929617690975,919.3478146001053,1492.545928316963,0.0,911,1
