hyb,x,y,s,w
2,785.4220787,1454.088361,1.22,1221.984309
2,810.0288422,1419.046114,1.22,1070.745042
2,822.1591242,1426.573248,1.22,1008.152227
2,812.6691435,1425.883078,1.22,947.5749924
2,783.596769,1458.24045,1.22,975.2586701
2,782.0730019,1451.894401,1.22,853.4726863
2,808.0376212,1439.82388,1.22,797.1964055
2,797.9873,1448.386554,1.22,761.7795977
2,829.9507131,1449.447517,1.22,706.4256199
2,790.2309552,1464.872328,1.22,770.2326625
2,791.7136351,1454.90822,1.22,687.8152628
2,776.6401957,1446.186729,1.22,675.5462315
2,812.9607642,1435.00065,1.22,668.9386117
2,809.0435469,1502.5767,1.22,2225.359508
2,810.2990536,1532.254536,1.22,1631.426521
2,799.4421028,1500.767363,1.22,1493.653645
2,788.0939414,1525.698682,1.22,1508.423823
2,783.7794345,1486.711523,1.22,1326.513567
2,782.9925755,1524.666096,1.22,1208.208835
2,817.0740526,1526.211017,1.22,1092.492661
2,796.5858391,1489.018446,1.22,979.9374215
2,814.4355682,1484.522389,1.22,952.372853
2,800.3401795,1493.660522,1.22,932.2188793
2,773.8798631,1533.585101,1.22,834.5567268
2,815.6085675,1509.961593,1.22,751.7334984
2,822.732512,1529.376137,1.22,736.6958576
2,794.3016228,1510.605124,1.22,741.3059504
2,802.1952499,1484.14319,1.22,762.605967
2,798.5741979,1526.112326,1.22,717.4205887
2,802.64428,1490.661447,1.22,665.3773461
2,780.1156494,1493.711254,1.22,678.1451586
2,777.0720192,1539.356244,1.22,687.9346789
2,794.5049935,1479.4034,1.22,624.2035917
2,829.1509411,1530.384246,1.22,671.7094397
2,789.667738,1512.494654,1.22,608.7888025
2,794.9007303,1537.344881,1.22,632.8501005
2,808.3397519,1537.088428,1.22,640.9288953
2,784.1276222,1545.994944,1.22,1695.425018
2,806.6945852,1553.282943,1.22,1229.226044
2,783.2043293,1563.455264,1.22,927.1878642
2,802.4583578,1553.394376,1.22,991.7913555
2,827.8561991,1545.795746,1.22,825.8004767
2,778.623894,1544.882482,1.22,750.8102568
2,850.4606452,1398.985236,1.22,1106.281151
2,839.4710934,1396.135793,1.22,1005.163552
2,861.883465,1400.686727,1.22,799.0225638
2,869.1236866,1408.353982,1.22,684.7612535
2,863.5015841,1404.681436,1.22,642.8044022
2,851.2646727,1394.967723,1.22,605.8342072
